T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
0.38 4.045 4.135 3.506 -0.9888 4 9.933 2.562 11.6 11.6 12.75 6.859 10.46 10.43 25.44 15.55
0.385 4.764 5.798 6.292 -1.888 3.775 7.64 -2.966 0.4494 8 5.54 -3.166 3.078 5.213 18.7 11.33
0.39 4.315 6.787 10.29 -2.067 3.64 5.258 -4.854 -6.697 3.236 -0.8793 -9.057 -3.605 -0.8989 9.438 5.753
0.395 3.955 7.82 15.51 0.8539 5.528 5.843 0.9438 -2.517 1.483 -1.847 -6.243 -3.254 -2.966 4.315 3.685
0.4 5.753 9.843 19.82 7.056 9.438 9.573 13.93 11.01 4.719 4.133 3.781 5.364 1.528 6.022 7.73
0.405 8.539 12.09 20.31 13.03 13.57 14.65 28.31 25.57 11.15 13.72 14.95 17.41 9.978 12.04 15.55
0.41 8.809 12.63 15.64 14.56 15.82 18.83 36.72 32 17.48 21.46 20.4 24.45 16.09 16.36 21.21
0.415 5.213 10.38 7.146 9.438 15.1 19.37 34.38 25.98 19.69 23.13 16.36 20.58 14.74 13.93 19.24
0.42 0.3596 6.157 -1.213 0.2697 11.46 14.83 22.56 10.83 16.27 17.94 4.573 6.859 5.753 4.315 8.989
0.425 -3.146 1.618 -5.079 -7.146 6.202 6.921 6.652 -3.955 8.404 8.09 -8.705 -8.705 -5.843 -8.18 -4.315
0.43 -5.393 -2.292 -3.236 -8.404 0.8539 -1.079 -8 -11.24 -0.809 -2.726 -17.41 -18.38 -14.47 -17.17 -14.47
0.435 -7.281 -5.798 0 -4.674 -4.135 -7.865 -19.01 -12.67 -8.36 -11.43 -20.05 -20.4 -17.62 -19.6 -18.7
0.44 -8.899 -9.798 -1.618 -1.393 -8.989 -14.65 -27.15 -15.1 -12.99 -17.06 -19.43 -18.64 -16.45 -17.35 -18.16
0.445 -11.15 -14.83 -10.11 -2.876 -13.71 -21.89 -33.35 -20.94 -15.1 -20.4 -18.73 -17.15 -13.93 -14.56 -16.36
0.45 -14.56 -20.22 -20.99 -8.494 -16.9 -27.73 -37.12 -25.62 -15.78 -22.25 -18.99 -16.97 -11.96 -13.84 -16.09
0.455 -17.98 -23.73 -28.18 -14.07 -17.53 -30.43 -37.12 -24.36 -15.78 -22.34 -19.35 -17.5 -10.7 -14.83 -17.53
0.46 -18.25 -23.28 -29.21 -16.36 -15.91 -29.44 -33.17 -18.07 -15.28 -20.58 -18.64 -17.32 -9.348 -15.46 -18.61
0.465 -14.83 -18.97 -26.25 -15.33 -13.26 -25.21 -27.06 -11.78 -13.53 -17.15 -15.83 -15.74 -7.461 -13.57 -17.17
0.47 -10.16 -13.08 -23.37 -13.53 -10.11 -18.29 -21.57 -10.34 -10.25 -12.31 -10.9 -13.45 -5.573 -8.719 -13.3
0.475 -5.573 -7.146 -22.97 -13.12 -6.427 -10.25 -18.16 -15.42 -5.258 -6.595 -4.924 -12.49 -4.584 -2.517 -9.528
0.48 0 -1.079 -22.61 -13.39 -1.933 -2.742 -15.37 -22.65 0 -0.7035 0.7914 -12.93 -4.494 2.876 -7.82
0.485 6.562 6.292 -16.81 -11.15 3.73 4.764 -9.753 -23.33 4.225 4.397 6.331 -12.4 -4.315 6.831 -7.82
0.49 11.78 15.01 -2.382 -4.09 10.38 13.93 0.5393 -11.78 6.742 8.354 12.05 -8.266 -3.056 10.34 -7.281
