T F7 F3 F4 F8 T3 C3 Cz C4 T5 P3 Pz P4 T6 O1 O2
25.195 -2.247 2.022 8.719 6.607 3.056 8.854 14.02 18.34 5.213 10.11 16.97 17.76 8.449 15.19 15.55
25.2 -0.6292 0.5393 6.876 4.494 3.101 5.258 7.91 13.08 5.888 10.73 19.79 16.44 8.539 22.11 15.82
25.205 -0.7191 -2.337 2.202 -0.5393 1.034 -0.8989 -1.798 1.978 4.09 7.738 14.86 8.705 5.303 21.75 11.33
25.21 -3.506 -6.382 -3.865 -6.652 -2.787 -8.494 -12.45 -8.899 0.4494 2.55 4.748 -0.08793 1.258 16.09 5.663
25.215 -7.011 -9.888 -8.809 -10.97 -6.607 -15.06 -19.78 -14.47 -2.876 -1.495 -5.452 -5.716 -0.8989 9.348 2.157
25.22 -8 -10.52 -9.933 -10.88 -8.494 -18.02 -20.4 -12.76 -4.36 -2.814 -11.52 -6.243 0.1798 4.404 1.618
25.225 -6.831 -7.91 -6.697 -6.202 -7.506 -15.24 -14.47 -5.258 -3.775 -1.935 -11.96 -2.462 3.775 1.258 2.787
25.23 -6.112 -3.73 -1.169 0.9438 -4.315 -7.371 -5.348 2.562 -2.067 -0.2638 -8.53 2.11 7.551 -1.888 3.506
25.235 -6.202 0.08989 2.562 6.742 -0.6292 1.843 2.562 4.719 -0.4045 1.407 -4.485 4.045 8.899 -5.933 2.337
25.24 -4.674 2.921 2.921 8.539 2.292 8.315 7.416 0.3596 0.4494 3.166 -1.231 2.55 7.191 -9.528 0.08989
25.245 -0.2697 4.989 1.933 6.427 4.494 11.24 10.16 -4.674 1.573 5.1 2.11 0.2638 3.416 -9.888 -1.528
25.25 5.393 6.697 2.697 2.517 6.427 11.87 12.49 -5.079 3.551 7.211 6.067 -1.495 -0.5393 -6.112 -2.517
25.255 9.618 7.865 5.393 -1.348 7.461 10.38 13.75 -1.978 5.933 8.354 8.881 -3.517 -4.045 -0.5393 -4.315
25.26 10.61 7.775 7.461 -4.18 5.933 6.472 12.04 0 6.831 7.123 8.354 -6.859 -6.652 3.056 -7.64
25.265 7.101 5.978 6.247 -4.944 1.978 1.348 6.562 -0.9438 5.169 3.341 4.924 -9.936 -8.09 3.506 -10.7
25.27 0.7191 3.146 2.247 -2.517 -2.157 -2.202 -0.2247 -2.562 1.618 -0.9673 2.022 -9.936 -8 2.787 -10.97
25.275 -3.506 1.438 -1.978 2.921 -3.775 -2.427 -4.045 -2.337 -1.933 -2.814 2.286 -5.716 -6.292 3.596 -7.461
25.28 -2.247 2.022 -3.551 9.124 -1.888 0.3596 -1.978 0.7191 -3.865 -1.231 6.331 1.319 -3.236 6.831 -1.348
25.285 2.787 3.865 -1.348 12.9 1.843 4.899 4.539 5.798 -3.506 2.374 11.52 8.53 -0.08989 10.79 4.404
25.29 5.933 4.719 2.562 12.04 5.213 8.719 10.79 9.708 -1.348 5.979 14.07 12.57 1.528 12.94 7.191
25.295 4.674 3.191 4.36 6.697 6.247 9.258 12.31 9.528 1.438 8.705 11.78 11.78 0.8989 11.69 6.022
25.3 0.9888 -0.04494 1.798 -0.4494 5.213 5.843 8.539 5.888 3.865 10.2 5.628 8.002 -1.079 7.82 2.876
25.305 -1.978 -3.685 -3.64 -6.022 3.73 1.438 2.202 3.146 5.483 10.38 -0.7914 4.748 -2.697 3.506 0.3596
25.31 -3.416 -7.011 -9.079 -8.944 3.281 -1.169 -3.955 2.921 6.022 8.617 -5.1 3.078 -3.146 -0.6292 -1.348
25.315 -3.596 -9.933 -13.35 -11.06 3.011 -2.697 -9.663 1.258 4.854 4.133 -8.09 0.2638 -3.056 -5.393 -3.865
25.32 -3.146 -12.81 -17.17 -14.79 0.4944 -5.978 -16.09 -5.708 1.213 -3.869 -12.31 -5.364 -3.146 -11.87 -7.82
25.325 -3.146 -15.37 -20.09 -19.15 -5.034 -11.96 -22.65 -14.56 -4.809 -14.42 -17.76 -11.43 -3.236 -18.7 -11.15
25.33 -4.045 -16.4 -20.04 -20.36 -11.37 -17.98 -26.25 -17.8 -11.15 -24.01 -21.81 -13.1 -2.067 -22.65 -11.06
25.335 -3.236 -14.02 -15.24 -15.73 -15.06 -20.72 -22.88 -11.51 -15.06 -28.23 -21.37 -8.442 0.9888 -21.21 -6.562
25.34 0.8989 -7.551 -6.112 -7.056 -13.8 -17.57 -12.13 0.9888 -15.1 -24.97 -15.21 0.5276 5.213 -14.65 0.7191
25.345 6.382 1.079 3.955 0.7191 -7.82 -7.865 1.888 12.31 -11.1 -16 -4.573 9.233 8.449 -5.933 7.371
25.35 8.629 9.079 10.56 3.596 0.3596 5.663 12.63 15.51 -5.303 -4.748 6.683 12.84 8.539 1.079 9.618
25.355 7.011 14.2 10.92 1.798 7.236 17.35 16.13 8.989 -0.4494 4.573 14.16 9.761 5.213 4.135 6.382
25.36 4.584 16.45 6.876 -0.2247 10.07 22.25 13.39 -1.348 1.528 9.145 15.65 3.078 0.4494 3.326 0.2697
25.365 4.045 16.49 3.775 1.933 8.584 20 8.899 -6.427 0.809 8.617 12.93 -1.407 -3.416 0.6292 -4.584
25.37 5.124 15.24 6.067 8.18 5.034 14.16 6.517 -3.236 -0.8539 5.1 9.321 -1.143 -5.034 -1.348 -6.112
25.375 7.281 13.26 12.27 13.48 1.843 7.955 6.427 2.112 -1.483 1.935 7.123 1.319 -5.034 -1.618 -4.674
25.38 9.348 10.74 16.76 12.94 0.5393 3.281 5.978 2.202 -0.2247 1.407 6.507 2.55 -4.225 -0.4494 -1.888
25.385 9.888 7.506 15.28 6.876 1.438 0.8989 3.056 -3.056 2.921 3.166 6.683 2.11 -2.427 2.067 1.348
25.39 7.281 3.146 8 0.7191 3.955 0.2697 -2.337 -8.539 6.562 5.804 5.979 1.143 0.6292 5.573 4.315
25.395 2.517 -2.427 -1.258 -0.8989 6.067 -1.258 -8.719 -10.65 9.258 7.386 2.286 -0.08793 4.135 8.809 6.112
25.4 -2.787 -8.674 -8.449 1.393 5.663 -5.798 -14.7 -10.79 9.258 6.243 -5.188 -2.286 6.292 9.888 5.843
25.405 -8.27 -14.7 -11.6 3.101 1.843 -12.4 -20.04 -12.13 6.247 2.022 -14.6 -6.067 5.393 7.551 3.146
25.41 -13.84 -19.24 -11.64 0.1348 -4 -17.8 -24.49 -16.22 1.079 -3.605 -22.6 -11.43 0.6292 1.798 -2.247
25.415 -17.08 -20.18 -10.92 -6.427 -9.393 -19.78 -26.25 -21.12 -4.315 -8.442 -26.73 -17.67 -6.652 -5.663 -9.888
25.42 -14.74 -16.04 -10.11 -11.64 -12.49 -17.75 -22.56 -21.17 -8.629 -11.26 -25.76 -21.54 -13.12 -12.67 -17.26
25.425 -7.101 -7.461 -6.966 -10.74 -12.18 -12.09 -11.69 -10.92 -11.24 -12.57 -19.35 -19.43 -15.82 -16.9 -21.03
25.43 0.8989 2.292 0.08989 -3.82 -8.674 -4.27 4.225 7.64 -12.31 -13.01 -8.617 -10.46 -13.57 -17.08 -19.33
25.435 5.753 9.978 9.393 4.135 -3.596 2.652 19.33 24.58 -12.99 -12.93 2.99 1.759 -7.551 -14.47 -12.58
25.44 6.652 13.39 16.18 8.315 0.7191 6.382 27.46 30.29 -13.84 -12.31 12.13 12.31 -0.4494 -11.15 -3.146
25.445 4.494 12.18 16.9 8.27 3.011 7.281 25.8 23.55 -14.07 -11.08 16.8 18.03 5.213 -8.539 5.753
25.45 0.809 7.91 11.6 7.146 3.191 7.236 16.49 10.02 -12.4 -8.881 17.06 17.5 6.831 -6.921 10.61
25.455 -1.348 3.056 2.831 6.517 1.888 6.697 4.764 -4.494 -8 -5.804 13.72 10.55 3.685 -6.112 9.618
25.46 -0.809 -0.2247 -6.067 4.18 -0.2247 4.944 -4.539 -16.27 -2.427 -2.638 8.705 0.1759 -2.247 -5.573 4.494
25.465 1.079 -1.933 -12.81 -3.011 -1.888 2.292 -9.169 -22.83 1.978 -0.7914 4.573 -8.705 -7.101 -4.494 -0.809
25.47 1.258 -3.281 -16.58 -14.56 -1.978 -0.3146 -9.708 -23.42 4.36 0.08793 2.286 -12.31 -7.551 -2.337 -3.146
25.475 -0.7191 -4.899 -18.2 -25.03 -0.3146 -2.292 -7.955 -19.87 4.944 1.319 0.9673 -11.26 -3.416 1.708 -2.247
25.48 -2.247 -6.067 -17.84 -27.51 2.112 -3.73 -5.124 -14.07 5.933 4.221 -0.5276 -8.354 2.337 7.91 0.2697
25.485 -2.427 -5.708 -13.93 -18.88 4.135 -3.596 -1.258 -6.787 8.764 8.881 -1.847 -5.979 5.843 16.09 2.966
25.49 -2.157 -3.371 -5.528 -3.371 5.258 -1.393 3.461 0.2697 13.17 14.16 -2.11 -5.1 4.944 24.45 4.854
25.495 -1.888 0.2247 4.989 10.34 4.944 1.169 7.191 4 16.45 17.5 -1.759 -5.716 0.6292 29.12 5.753
25.5 -2.067 2.742 12.72 15.06 2.876 1.124 7.506 2.562 15.37 15.83 -3.078 -6.243 -3.506 25.89 6.022
25.505 -3.775 1.348 13.89 10.92 -1.034 -2.697 2.921 -1.573 9.213 7.738 -7.738 -5.012 -4.674 13.75 5.663
25.51 -7.82 -4.539 8.989 3.685 -5.978 -8.989 -4.764 -4.719 -0.1348 -4.836 -14.95 -2.55 -3.236 -3.685 3.955
25.515 -11.51 -11.6 2.112 -0.4494 -10.7 -15.46 -11.1 -5.528 -8.719 -17.23 -21.81 -0.9673 -1.528 -19.96 0.9888
25.52 -10.34 -14.11 -1.124 0.9888 -13.66 -18.88 -10.88 -3.326 -13.53 -24.27 -23.48 0 -0.7191 -28.76 -1.169
25.525 -2.966 -8.764 3.326 6.697 -13.17 -15.91 -2.292 3.191 -13.35 -22.69 -16.09 3.341 0.809 -26.79 0.809
25.53 7.101 2.697 14.07 13.57 -8.27 -5.573 11.46 13.21 -9.124 -12.75 -0.1759 10.82 5.034 -15.46 7.82
25.535 15.01 14.83 24.22 18.61 -0.4494 8.315 23.37 22.16 -2.742 2.11 18.38 20.05 12.13 0.1798 16.9
25.54 17.44 21.89 26.79 19.87 7.281 19.46 27.33 24.9 3.371 16.53 32.8 26.38 19.15 15.01 23.19
25.545 13.21 21.57 19.64 17.12 12.13 24.63 22.29 20.9 7.236 26.12 39.66 26.91 22.47 25.71 24.27
25.55 4.944 16.49 7.191 11.55 13.71 24.49 12.36 13.89 8 29.02 39.83 21.81 20.22 31.73 19.96
25.555 -1.438 11.82 -4.09 5.079 12.94 21.75 3.146 7.596 6.022 27.08 35.79 13.45 14.02 33.17 12.4
25.56 -0.9888 10.92 -10.07 -0.4045 11.15 18.61 -2.427 4 2.876 22.95 29.72 5.1 7.191 30.38 4.315
25.565 5.213 12.58 -10.2 -3.596 9.483 16.72 -5.079 3.146 0.8539 18.82 22.95 -0.9673 2.157 24.72 -2.787
25.57 10.88 13.12 -6.876 -4.27 8.764 15.87 -7.281 2.697 1.888 16.09 16.36 -5.1 -1.438 18.79 -8.629
25.575 11.6 10.16 -3.82 -3.775 8.36 13.84 -10.11 -0.08989 6.292 15.12 10.64 -8.793 -5.393 15.19 -13.3
25.58 7.73 4.809 -2.382 -3.236 7.236 8.899 -11.78 -4.225 11.64 14.68 6.859 -11.17 -9.169 15.19 -14.92
25.585 1.618 -0.6292 -1.753 -2.427 4.674 2.157 -9.753 -4.315 15.37 13.37 5.804 -8.881 -10.43 18.34 -10.97
25.59 -4.854 -4.494 -0.764 -0.4494 1.079 -3.82 -4.36 2.337 16.31 10.38 6.683 -1.055 -6.742 21.93 -1.348
25.595 -9.708 -6.921 -0.5843 1.618 -2.831 -8.135 0.9438 11.1 14.88 6.155 5.979 8.002 0.809 23.37 9.888
25.6 -11.15 -8.809 -3.056 1.438 -6.022 -11.01 2.382 13.98 12.54 1.583 0.9673 12.4 8 20.58 18.16
25.605 -10.25 -10.65 -7.461 -2.337 -7.101 -11.96 -0.4944 8.09 10.74 -2.638 -7.65 9.585 11.15 14.2 20.31
25.61 -8.899 -11.91 -11.06 -8.135 -4.944 -9.888 -4.764 -2.382 9.753 -5.188 -16.88 1.935 8.989 5.483 16.45
25.615 -7.73 -11.69 -11.51 -12.36 -0.4494 -5.483 -6.292 -11.28 9.034 -5.628 -23.83 -5.979 4.135 -4.764 8.809
25.62 -5.753 -10.07 -8.494 -12.36 3.371 -1.169 -3.506 -14.25 7.551 -4.924 -27.26 -9.497 0.3596 -16.18 0.7191
25.625 -4.225 -8.539 -3.91 -8.225 4.404 1.348 1.528 -10.92 5.169 -4.66 -27.17 -6.859 -0.6292 -27.33 -5.124
25.63 -4.494 -8.18 0.4045 -3.146 2.562 1.573 5.483 -4.854 2.202 -5.804 -24.45 -1.319 -0.1798 -35.69 -8.629
25.635 -5.303 -8.09 3.461 -0.809 -0.4944 -0.4944 6.697 -0.8539 -1.034 -7.914 -20.93 1.847 -1.258 -39.37 -10.88
25.64 -4.045 -6.517 5.348 -1.618 -3.011 -4.135 6.337 0.2697 -4.764 -10.29 -17.94 0.6155 -4.584 -38.47 -12.67
25.645 -0.8989 -3.236 7.461 -2.517 -4 -7.371 6.787 2.652 -8.989 -12.66 -15.65 -2.462 -8.09 -35.06 -13.57
25.65 1.348 -0.3146 9.753 0.1348 -3.775 -8.36 8.674 8.854 -12.76 -14.51 -13.63 -3.781 -8.989 -31.46 -13.21
25.655 0.809 0.2697 10.47 6.382 -3.461 -7.506 10.47 15.1 -14.97 -14.86 -11.78 -2.374 -6.472 -28.85 -11.6
25.66 -1.169 -1.213 8.18 12.18 -3.73 -5.888 10.16 15.69 -15.06 -13.19 -9.409 0.4397 -2.337 -25.8 -9.079
25.665 -2.517 -3.011 4.36 13.62 -3.64 -3.281 7.73 10.16 -12.67 -9.585 -5.012 3.341 1.169 -19.87 -5.393
25.67 -2.337 -2.742 2.157 10.16 -1.888 0.8989 4.764 3.596 -8.27 -4.573 1.495 5.804 2.517 -9.708 -1.708
25.675 -0.08989 -0.1798 2.697 4.719 1.124 4.899 2.787 0.6742 -3.191 0.6155 7.826 6.683 2.067 2.157 0.4494
25.68 4.045 3.371 4.18 1.258 3.326 5.978 1.528 2.337 0.809 3.605 10.99 5.892 1.079 11.33 0.2697
25.685 7.82 5.348 4.27 1.438 3.146 3.416 0 6.112 2.966 2.902 9.761 3.869 0 14.47 -1.888
25.69 8.719 5.034 2.022 3.865 1.438 -0.1798 -2.202 7.685 3.64 -0.3517 5.628 0.4397 -1.528 11.6 -5.303
25.695 7.281 3.775 -2.067 5.124 0.1348 -2.292 -3.865 3.461 3.281 -3.605 0.5276 -5.1 -4.404 5.303 -8.809
25.7 5.573 3.326 -6.112 3.146 0.3596 -1.753 -3.371 -5.169 2.247 -4.573 -3.517 -10.99 -7.64 -1.438 -10.7
25.705 3.506 3.506 -8.045 -0.764 1.663 1.124 -0.1348 -11.55 1.393 -3.341 -5.452 -13.19 -8.899 -6.292 -9.528
25.71 0 2.966 -7.281 -3.191 3.101 4.764 4.045 -10.7 0.5393 -1.055 -5.188 -8.969 -6.292 -8.539 -5.124
25.715 -3.146 1.978 -4.854 -1.978 3.82 6.562 6.607 -4.584 0 1.055 -3.781 -0.08793 -0.5393 -8.09 0.8989
25.72 -1.708 2.742 -1.933 2.157 3.955 5.798 6.202 1.124 -0.8989 2.374 -1.319 8.969 5.843 -5.303 6.742
25.725 5.483 6.697 1.618 6.382 4.674 4.629 3.865 3.596 -2.202 2.902 2.814 14.42 10.34 -0.1798 11.06
25.73 14.29 12.36 5.888 7.865 6.382 5.169 1.663 3.685 -3.551 3.341 8.705 14.25 11.24 7.011 12.76
25.735 18.97 15.55 9.034 5.124 7.371 6.472 0.764 2.607 -4.36 3.957 14.07 8.969 9.079 14.2 11.78
25.74 16.27 12.9 8.584 -0.6742 5.303 5.573 0.764 1.034 -3.91 4.045 16.8 2.198 5.663 19.06 9.798
25.745 6.382 4.494 4.584 -6.472 0.1348 1.753 0.8539 0.5843 -1.933 3.078 16.27 -2.022 2.787 20.31 8.449
25.75 -6.382 -5.393 -0.4944 -9.034 -5.483 -2.876 0.764 1.573 1.393 1.935 13.37 -2.022 0.5393 18.34 8
25.755 -15.37 -11.46 -4.315 -8.36 -8.449 -6.157 0.764 2.202 5.124 1.495 8.53 -0.9673 -1.798 13.75 6.472
25.76 -16.18 -12 -6.292 -7.191 -8.404 -8.09 0.5843 0.5843 7.011 1.055 1.671 -1.935 -4.764 6.831 2.517
25.765 -11.96 -10.29 -7.416 -8.494 -7.371 -9.933 -0.9438 -2.607 5.213 -1.935 -7.474 -5.628 -8 -2.337 -3.775
25.77 -9.348 -11.1 -8.899 -12.9 -7.506 -12.67 -5.258 -6.427 -0.3146 -8.793 -17.94 -10.73 -10.79 -13.03 -10.97
25.775 -11.42 -15.55 -11.19 -17.84 -9.438 -16.81 -12.45 -11.37 -8.135 -18.03 -27.61 -15.74 -12.94 -23.64 -17.17
25.78 -15.37 -20.09 -12.81 -19.15 -11.37 -20.85 -20.04 -17.08 -15.46 -25.76 -33.15 -19.35 -14.47 -31.46 -20.85
25.785 -17.71 -20.72 -11.51 -14.02 -11.37 -21.8 -24.27 -20.04 -19.6 -28.49 -31.3 -19.96 -14.83 -33.62 -21.03
25.79 -17.17 -16.67 -6.921 -3.91 -8.584 -18.07 -22.88 -17.62 -19.19 -24.8 -22.16 -17.67 -13.57 -28.76 -17.89
25.795 -13.84 -10.61 -2.112 5.843 -4.764 -12.04 -17.12 -11.64 -15.37 -16.53 -9.761 -13.72 -10.25 -18.61 -12.58
25.8 -8.09 -6.157 -0.764 9.573 -2.292 -7.64 -10.79 -6.921 -10.56 -8.266 0.4397 -9.233 -5.213 -7.101 -6.022
25.805 -1.438 -4.404 -3.236 6.292 -1.798 -5.753 -7.506 -5.663 -7.101 -3.341 5.628 -4.748 0 2.157 0.4494
25.81 4.315 -3.371 -6.697 -0.1348 -1.213 -4.315 -8.18 -7.056 -5.124 -1.847 6.155 -1.231 2.966 7.281 4.225
25.815 8.899 -0.2247 -7.775 -4.135 0.8539 -1.663 -10.88 -9.124 -3.865 -1.319 4.485 -0.2638 1.978 8.539 3.146
25.82 12.58 5.708 -5.438 -3.146 3.73 1.798 -12.22 -9.573 -2.022 0.6155 3.429 -1.935 -1.888 7.82 -1.798
25.825 14.29 11.69 -0.8539 1.663 5.843 5.124 -10.02 -6.112 0.764 4.221 4.66 -3.605 -5.483 7.73 -6.562
25.83 12.4 14.7 3.82 6.202 6.697 8.045 -4.539 0.4494 4.315 8.969 8.178 -2.902 -6.112 9.708 -7.011
25.835 8.899 14.16 6.517 7.191 7.146 10.29 2.247 6.157 7.73 13.72 11.52 -0.08793 -3.146 12.85 -2.427
25.84 7.73 12.36 6.607 4.539 8.27 11.82 7.955 7.91 9.573 17.59 12.4 3.078 2.067 14.83 4.854
25.845 9.708 11.24 5.618 1.303 9.933 13.35 11.42 7.596 9.393 19.35 10.73 5.54 6.831 14.11 10.61
25.85 11.87 10.92 5.258 0.809 10.88 14.92 12.63 8.315 7.64 18.55 7.826 7.035 9.708 11.24 12.4
25.855 11.69 10.25 5.573 3.551 9.258 14.74 11.73 9.753 5.258 15.56 4.836 7.474 10.7 7.91 10.52
25.86 8.809 8.404 5.573 6.876 4.36 11.33 8.944 8.764 2.921 10.99 2.198 7.211 10.7 5.483 7.91
25.865 3.596 5.034 4.764 8 -1.798 5.843 4.404 4.135 1.124 5.979 0.2638 7.211 10.25 4.135 7.011
25.87 -3.596 0.6742 3.236 5.933 -6.337 0.9888 -0.7191 -2.022 0.3146 1.583 -1.407 7.035 8.719 2.876 7.191
25.875 -10.61 -4.135 0.809 1.978 -8 -2.427 -4.315 -6.472 0.3596 -1.319 -3.605 5.364 5.303 0 5.663
25.88 -14.65 -8.539 -2.382 -1.843 -8.225 -5.079 -4.449 -6.202 0.809 -2.99 -6.243 2.55 1.079 -4.674 1.258
25.885 -15.46 -11.96 -5.079 -3.82 -8.629 -6.876 -0.4494 0.08989 1.438 -4.221 -7.914 0.7914 -2.067 -9.348 -4.045
25.89 -14.38 -13.35 -5.483 -3.865 -9.258 -6.742 6.157 9.079 2.247 -4.836 -7.035 1.055 -2.876 -11.15 -7.101
25.895 -11.69 -11.51 -3.326 -3.146 -8.854 -4.674 11.64 13.48 3.281 -4.045 -4.221 1.759 -2.157 -9.258 -6.831
25.9 -6.652 -6.472 -0.04494 -3.011 -6.876 -2.112 12.99 8.899 3.685 -2.022 -1.231 0.7914 -1.618 -5.483 -4.135
25.905 -0.3596 -0.7191 3.146 -3.146 -3.73 -0.2697 9.933 -0.8539 3.011 0 0.7914 -1.055 -2.337 -1.888 -0.6292
25.91 4.315 2.607 5.528 -2.202 -0.6742 0.4494 4.809 -7.596 1.348 0.7914 2.374 -1.143 -3.236 0.6292 2.517
25.915 6.022 2.427 6.292 -0.2247 1.169 -0.4944 0.5393 -7.101 -0.5393 0.4397 4.045 2.11 -2.337 2.607 5.034
25.92 5.573 -0.04494 4.899 1.303 1.169 -2.876 -1.348 -1.169 -2.517 -0.5276 6.595 8.53 1.798 4.944 7.91
25.925 3.056 -2.742 1.843 0.6292 0.3596 -4.944 -1.663 5.978 -3.955 -0.9673 10.38 15.83 8.27 7.91 11.15
25.93 -2.157 -4.539 -1.978 -2.202 -0.08989 -4.629 -1.798 10.2 -4.764 -0.3517 14.07 20.4 13.57 10.43 13.03
25.935 -7.551 -5.034 -5.798 -5.573 0.1348 -2.247 -2.202 9.798 -5.213 1.319 15.3 18.73 14.29 10.7 11.24
25.94 -8.989 -3.91 -8.27 -6.831 0.5393 0.809 -2.292 6.247 -5.528 3.078 12.31 11.52 10.16 8.09 5.663
25.945 -4.674 -0.8539 -7.326 -4.225 1.169 4.18 -1.213 3.326 -5.124 4.133 5.804 2.638 3.775 4.225 -0.9888
25.95 3.416 4.494 -2.202 1.213 3.056 7.82 0.08989 1.978 -3.371 4.66 -1.407 -4.748 -2.067 1.618 -6.292
25.955 12.67 11.6 4.629 6.112 6.382 10.61 -0.1798 -1.303 -0.5393 5.1 -7.211 -10.64 -6.562 1.169 -9.348
25.96 20.49 18.38 9.079 7.101 9.573 10.56 -2.787 -9.079 2.427 5.54 -10.29 -15.83 -9.798 1.798 -10.43
25.965 24.27 21.53 9.438 4.09 10.7 7.91 -5.798 -17.44 4.36 5.012 -9.409 -18.91 -12.04 2.247 -9.888
25.97 22.29 19.33 6.831 0 9.169 4.989 -5.798 -19.28 4.989 3.517 -5.1 -17.32 -12.58 1.978 -8
25.975 16.45 13.26 3.91 -2.202 5.933 3.685 -1.438 -11.6 5.034 2.198 0.3517 -10.11 -9.978 1.438 -5.124
25.98 10.43 6.966 2.112 -1.888 2.742 4 5.079 2.022 5.483 1.847 4.836 0.5276 -3.955 1.348 -1.708
25.985 5.393 2.876 1.393 -0.1798 0.9888 5.124 9.124 15.28 6.562 2.55 7.211 11.08 3.865 2.157 1.708
25.99 0.3596 0.7191 0.4944 1.438 1.213 6.292 8.36 22.16 8.045 4.045 8.442 16.97 10.34 3.596 4.225
25.995 -5.124 -0.7191 -1.483 2.517 2.292 6.517 4.27 20.18 8.809 5.892 9.585 15.83 12.76 5.213 5.483
26 -8.36 -2.067 -3.73 3.596 3.101 5.933 1.573 12.31 8.539 7.738 11.7 9.936 11.33 6.831 6.472
26.005 -8.449 -2.697 -3.596 5.303 3.551 6.337 4 5.663 7.955 9.321 14.86 4.309 8 8.989 8.36
26.01 -6.382 -1.978 0.2247 6.921 4.629 8.674 10.56 4.899 7.955 10.29 17.59 2.198 4.494 11.6 10.52
26.015 -3.596 0.08989 5.618 6.202 6.337 10.7 16.63 7.91 8.539 10.29 16.44 1.935 1.169 13.03 10.79
26.02 -0.7191 1.888 8.18 2.022 6.876 8.629 17.17 9.034 8.449 7.826 9.849 0.2638 -2.247 11.15 8
26.025 0 0.9888 5.978 -3.865 4.539 1.978 11.24 5.528 5.978 2.198 -0.6155 -3.605 -5.303 5.213 3.056
26.03 -3.146 -3.281 0.6292 -8 -0.809 -6.112 2.112 -1.124 0.6292 -5.804 -11.17 -7.65 -6.652 -3.326 -1.798
26.035 -8.629 -8.539 -4.809 -8.09 -7.551 -12.09 -6.382 -8.764 -6.382 -13.54 -18.29 -9.321 -5.393 -11.78 -4.854
26.04 -12.22 -11.01 -7.82 -5.124 -13.53 -14.7 -11.73 -14.65 -12.94 -19.08 -20.49 -7.562 -1.888 -17.53 -5.483
26.045 -11.42 -9.034 -7.281 -1.798 -16.54 -13.93 -13.84 -15.73 -16.81 -21.37 -17.85 -2.726 1.978 -19.15 -4.135
26.05 -7.461 -4.045 -3.775 -0.2697 -15.6 -11.15 -13.66 -10.79 -16.67 -20.14 -11.78 2.11 3.865 -16.18 -2.247
26.055 -2.157 0.6742 0.764 -0.3146 -11.46 -8.18 -11.96 -3.281 -13.21 -15.3 -4.924 3.517 2.697 -9.618 -1.079
26.06 3.056 3.011 4.315 -0.5843 -6.022 -6.067 -9.213 1.753 -8 -7.386 0.7035 0.7035 0.08989 -1.079 -0.2697
26.065 6.202 2.562 5.933 0.4494 -0.809 -3.82 -6.247 2.202 -2.652 1.671 4.748 -3.429 -1.618 7.461 0.7191
26.07 5.483 0.809 5.393 2.472 3.685 -0.08989 -4.27 -0.8539 1.438 9.673 7.035 -5.979 -1.528 13.84 1.798
26.075 2.517 -0.6292 2.112 3.506 6.427 3.775 -4.18 -5.483 3.91 14.07 7.386 -6.683 -0.1798 16 2.157
26.08 0.08989 -1.034 -3.596 1.843 6.382 5.258 -5.124 -9.034 3.82 13.45 5.54 -6.683 0.6292 12.85 1.258
26.085 -0.809 -1.169 -9.438 -1.933 3.596 3.865 -5.124 -8.539 1.798 8.178 2.374 -6.155 0.2697 5.573 -0.4494
26.09 -1.708 -2.067 -12.54 -5.618 -0.1348 1.708 -3.011 -3.775 -0.8539 1.495 -0.4397 -5.1 -0.809 -2.787 -2.157
26.095 -2.517 -2.697 -12.09 -7.551 -2.337 1.034 0.4494 1.169 -2.562 -2.902 -2.198 -3.693 -1.618 -9.618 -3.685
26.1 -0.7191 -0.9438 -9.169 -7.91 -1.258 2.562 3.73 2.382 -2.337 -3.254 -2.814 -1.847 -1.618 -13.75 -4.854
26.105 4.045 3.685 -4.854 -6.966 2.966 6.067 5.843 0.9438 -0.04494 -0.7914 -2.286 0.8793 -0.8989 -15.1 -4.944
26.11 9.079 8.899 0.5393 -4.854 8.225 10.02 7.146 0.6742 3.326 1.935 -1.319 4.133 -0.2697 -14.2 -4.045
26.115 10.88 10.88 6.067 -1.348 10.74 10.97 8.09 3.191 5.933 3.254 -1.231 5.716 -1.079 -11.6 -3.056
26.12 7.281 6.921 10.07 3.011 7.82 5.933 8.36 6.157 6.427 2.198 -3.254 4.045 -3.506 -8.18 -2.787
26.125 -1.888 -2.517 10.88 6.831 0.3146 -3.73 6.517 7.236 4.899 -0.7035 -6.771 0.08793 -6.921 -4.944 -3.416
26.13 -14.11 -13.53 8.18 8.404 -7.685 -13.35 2.112 5.438 2.697 -4.309 -9.761 -4.309 -10.16 -2.697 -5.034
26.135 -22.92 -20.63 2.876 7.101 -11.96 -18.74 -3.101 1.079 1.258 -7.386 -11.26 -7.65 -12.04 -2.247 -6.921
26.14 -22.74 -20.45 -2.427 3.955 -11.33 -18.56 -6.112 -3.775 0.7191 -9.585 -10.9 -8.705 -10.97 -3.506 -7.371
26.145 -14.74 -14.47 -4.674 1.618 -7.73 -13.8 -4.404 -5.483 0.4045 -11.08 -8.53 -5.892 -6.382 -4.944 -4.854
26.15 -5.393 -7.416 -2.472 1.843 -4.36 -7.146 0.8539 -2.382 -0.6292 -11.7 -4.573 0 0.6292 -4.764 0.1798
26.155 -0.1798 -3.146 1.708 3.64 -3.236 -2.202 5.978 2.697 -2.202 -10.46 -0.2638 5.716 7.371 -2.517 5.303
